Car_Brand,Price,Transmission,Fuel_Type,Mileage,release_year
Toyota Yaris Design Hatchback,"£9,995                            ",Manual,Petrol,"28,097 Miles",2017
Toyota Auris Excel Hatchback,"£9,995                            ",Automatic,Petrol,"76,449 Miles",2015
Toyota Yaris Icon Hatchback,"£9,995                            ",Manual,Diesel,"34,347 Miles",2016
Toyota AYGO x-play Hatchback,"£9,995                            ",Manual,Petrol,"11,000 Miles",2021
Toyota Yaris Icon Tech Hatchback,"£9,995                            ",Manual,Petrol,"42,810 Miles",2018
Toyota Yaris Icon Tech Hatchback,"£9,995                            ",Manual,Petrol,"37,236 Miles",2019
Toyota AYGO x-trend Hatchback,"£9,995                            ",Manual,Petrol,"17,673 Miles",2020
Toyota Yaris Excel Hatchback,"£9,995                            ",Manual,Petrol,"43,494 Miles",2017
Toyota Auris Business Edition Hatchback,"£9,995                            ",Manual,Petrol,"42,848 Miles",2016
Toyota AYGO x-play Hatchback,"£9,995                            ",Manual,Petrol,"24,698 Miles",2021
Toyota AYGO x-clusiv Hatchback,"£9,995                            ",Manual,Petrol,"43,811 Miles",2019
Toyota AYGO x-trend Hatchback,"£9,995                            ",Manual,Petrol,"31,000 Miles",2019
Toyota Yaris Icon Hatchback,"£9,995                            ",Manual,Petrol,"53,793 Miles",2019
Toyota AYGO x-trend Hatchback,"£9,996                            ",Manual,Petrol,"13,144 Miles",2019
Toyota AYGO x-trend Hatchback,"£9,998                            ",Manual,Petrol,"22,788 Miles",2019
Toyota AYGO x-trend Hatchback,"£9,998                            ",Manual,Petrol,"38,839 Miles",2021
Toyota AYGO x-trend Hatchback,"£9,998                            ",Manual,Petrol,"32,772 Miles",2021
Toyota AYGO x-trend Hatchback,"£9,999                            ",Manual,Petrol,"24,644 Miles",2020
Toyota AYGO x-trend Hatchback,"£9,999                            ",Manual,Petrol,"15,332 Miles",2019
Toyota AYGO x-trend Hatchback,"£9,999                            ",Manual,Petrol,"20,909 Miles",2021
Toyota AYGO x-trend Hatchback,"£10,006                            ",Manual,Petrol,"38,351 Miles",2020
Toyota AYGO x-trend Hatchback,"£10,041                            ",Manual,Petrol,"23,200 Miles",2020
Toyota AYGO x-trend Hatchback,"£10,049                            ",Manual,Petrol,"24,634 Miles",2020
Toyota AYGO x-clusiv Hatchback,"£10,109                            ",Manual,Petrol,"30,552 Miles",2019
Toyota AYGO x-trend Hatchback,"£10,112                            ",Manual,Petrol,"33,744 Miles",2022
Toyota AYGO x-trend Hatchback,"£10,115                            ",Manual,Petrol,"44,763 Miles",2021
Toyota AYGO x-trend Hatchback,"£10,129                            ",Manual,Petrol,"34,703 Miles",2022
Toyota AYGO x-cite Hatchback,"£10,150                            ",Manual,Petrol,"23,999 Miles",2019
Toyota Yaris Icon Tech Hatchback,"£10,167                            ",Manual,Petrol,"48,159 Miles",2019
Toyota Yaris Icon Tech Hatchback,"£10,195                            ",Automatic,Petrol,"64,054 Miles",2018
Toyota Yaris Icon Hatchback,"£10,195                            ",Manual,Petrol,"40,707 Miles",2019
Toyota AYGO x-clusiv Hatchback,"£10,200                            ",Manual,Petrol,"24,829 Miles",2018
Toyota AYGO x-trend Hatchback,"£10,200                            ",Manual,Petrol,"18,257 Miles",2021
Toyota Yaris Excel Hatchback,"£10,229                            ",Automatic,Petrol,"47,068 Miles",2015
Toyota AYGO x-play Hatchback,"£10,232                            ",Manual,Petrol,"19,568 Miles",2022
Toyota Yaris Icon Tech Hatchback,"£10,233                            ",Manual,Petrol,"30,423 Miles",2017
Toyota Auris Icon Hatchback,"£10,250                            ",Automatic,Petrol,"27,797 Miles",2015
Toyota AYGO x-trend Hatchback,"£10,250                            ",Manual,Petrol,"26,154 Miles",2021
Toyota Yaris Hatchback,"£10,250                            ",Automatic,Petrol,"70,141 Miles",2017
Toyota AYGO x-play Hatchback,"£10,265                            ",Manual,Petrol,"16,443 Miles",2021
Toyota Yaris Icon Hatchback,"£10,285                            ",Manual,Petrol,"21,039 Miles",2019
Toyota Yaris Icon Hatchback,"£10,290                            ",Manual,Petrol,"45,732 Miles",2019
