"Brand","Model","Price_in_Pounds","Transmission","Fuel_Type","Mileage_in_Miles","Release_Year"
"BMW","iX1 eDrive20 M Sport",42800,"Automatic","electric",6587,2024
"BMW","i5 eDrive40 M Sport Pro Touring",56795,"Automatic","electric",7900,2024
"BMW","iX2 xDrive30 M Sport",39995,"Automatic","electric",9206,2024
"BMW","iX xDrive40 M Sport",48990,"Automatic","electric",10366,2024
"BMW","i5 M60 Saloon",73902,"Automatic","electric",4487,2024
"BMW","iX1 xDrive30 M Sport",33999,"Automatic","electric",3060,2023
"BMW","i5 M60 Saloon",56500,"Automatic","electric",13491,2024
"BMW","i4 eDrive35 Sport",40995,"Automatic","electric",6000,2024
"BMW","iX xDrive50 M Sport",69500,"Automatic","electric",7015,2024
"BMW","i5 M60 Saloon",64892,"Automatic","electric",2749,2024
"BMW","iX2 xDrive30 M Sport",37995,"Automatic","electric",11535,2024
"BMW","i5 eDrive40 M Sport Pro Saloon",48998,"Automatic","electric",12003,2024
"BMW","iX1 eDrive20 M Sport",31990,"Automatic","electric",11360,2024
"BMW","iX1 xDrive30 M Sport",33000,"Automatic","electric",4332,2023
"BMW","i5 eDrive40 M Sport Saloon",57995,"Automatic","electric",7681,2024
"BMW","iX1 xDrive30 M Sport",33318,"Automatic","electric",6117,2023
"BMW","iX2 xDrive30 M Sport",35816,"Automatic","electric",2710,2024
"BMW","iX1 eDrive20 M Sport",34768,"Automatic","electric",1747,2024
"BMW","iX2 xDrive30 M Sport",38464,"Automatic","electric",6398,2024
"BMW","i5 eDrive40 M Sport Pro Saloon",49890,"Automatic","electric",1462,2024
"BMW","i4 eDrive35 M Sport",38500,"Automatic","electric",6912,2024
"BMW","i4 eDrive35 Sport",38500,"Automatic","electric",3712,2024
"BMW","i4 eDrive35 Sport",35940,"Automatic","electric",1616,2024
"BMW","i5 eDrive40 M Sport Pro Touring",56000,"Automatic","electric",9000,2024
"BMW","iX1 xDrive30 M Sport",45499,"Automatic","electric",5837,2024
"BMW","i5 M60 Saloon",61999,"Automatic","electric",9591,2024
"BMW","i4 eDrive35 Sport",35000,"Automatic","electric",5121,2024
